coin,date,open,high,low,close,volume,market_cap,circulating_supply,ret,rv_7d,rv_30d,range_abs,range_pct,group
1INCH,2025-07-08,0.1916,0.2086,0.188,0.205,212793.61,375171964,1395607547.351512,,,,0.020600000000000007,0.10957446808510642,Other
1INCH,2025-07-09,0.205,0.214,0.201,0.213,143193.75,375171964,1395607547.351512,0.039024390243902474,,,0.012999999999999984,0.0646766169154228,Other
1INCH,2025-07-10,0.213,0.2373,0.211,0.2353,167257.6,375171964,1395607547.351512,0.10469483568075133,,,0.026300000000000018,0.12464454976303327,Other
1INCH,2025-07-11,0.2353,0.3229,0.2347,0.2959,5136409.68,375171964,1395607547.351512,0.2575435614109647,,,0.08820000000000003,0.3757988922028122,Other
1INCH,2025-07-12,0.2959,0.3348,0.2704,0.3231,1862866.01,375171964,1395607547.351512,0.09192294694153436,,,0.06440000000000001,0.23816568047337286,Other
1INCH,2025-07-13,0.3231,0.3918,0.3072,0.3182,4548215.46,375171964,1395607547.351512,-0.015165583410708838,,,0.08460000000000001,0.27539062500000006,Other
1INCH,2025-07-14,0.3182,0.3639,0.3074,0.3531,2369372.77,375171964,1395607547.351512,0.10967944688874942,,,0.056499999999999995,0.18379960962914768,Other
1INCH,2025-07-15,0.3531,0.3576,0.3245,0.3411,1781134.71,375171964,1395607547.351512,-0.03398470688190314,1.8601111873938756,,0.03309999999999996,0.1020030816640985,Other
1INCH,2025-07-16,0.3411,0.3769,0.3256,0.3274,1403756.79,375171964,1395607547.351512,-0.0401641747288185,2.0428230163833176,,0.05130000000000001,0.1575552825552826,Other
1INCH,2025-07-17,0.3274,0.3327,0.3156,0.3248,1105129.69,375171964,1395607547.351512,-0.007941356139279265,2.0806018495780987,,0.017100000000000004,0.054182509505703434,Other
1INCH,2025-07-18,0.3248,0.3417,0.31,0.316,992666.44,375171964,1395607547.351512,-0.027093596059113212,1.1936679313497132,,0.031700000000000006,0.10225806451612905,Other
1INCH,2025-07-19,0.316,0.3231,0.3071,0.317,250865.05,375171964,1395607547.351512,0.0031645569620253333,0.9808851542127319,,0.016000000000000014,0.05210029306414853,Other
1INCH,2025-07-20,0.317,0.3298,0.3121,0.3192,302756.09,375171964,1395607547.351512,0.006940063091482651,0.9753195510288498,,0.017699999999999994,0.05671259211791091,Other
1INCH,2025-07-21,0.3192,0.3326,0.313,0.3162,638209.91,375171964,1395607547.351512,-0.009398496240601517,0.35147446941125216,,0.019600000000000006,0.06261980830670928,Other
1INCH,2025-07-22,0.3162,0.3176,0.2961,0.312,600126.35,375171964,1395607547.351512,-0.013282732447817747,0.3151429244440662,,0.02150000000000002,0.07261060452549821,Other
1INCH,2025-07-23,0.312,0.314,0.2753,0.284,426104.73,375171964,1395607547.351512,-0.08974358974358987,0.627794198264223,,0.03870000000000001,0.14057391936069746,Other
1INCH,2025-07-24,0.284,0.287,0.2641,0.2731,229278.28,375171964,1395607547.351512,-0.03838028169014074,0.6318058615505673,,0.022899999999999976,0.08670957970465723,Other
1INCH,2025-07-25,0.2731,0.28,0.2661,0.2791,146285.4,375171964,1395607547.351512,0.021969974368363232,0.7113762581406987,,0.013900000000000023,0.05223600150319437,Other
1INCH,2025-07-26,0.2791,0.287,0.2761,0.2828,92073.44,375171964,1395607547.351512,0.013256897169473314,0.7321748581929376,,0.010899999999999965,0.03947844983701545,Other
1INCH,2025-07-27,0.2828,0.2929,0.2801,0.291,126190.41,375171964,1395607547.351512,0.028995756718529053,0.7884888675793684,,0.012799999999999978,0.045697965012495456,Other
